,shop,1st,location
0,스파,35,서울 노원구 상계동 666-3 주공10단지종합상가111
1,부일카서비스,34,부산 동구 범일제2동 830-195번지
2,일등복권편의점,24,대구 달서구 본리동 2-16번지 1층
3,세진전자통신,16,대구 서구 평리동 1094-4번지
4,로또휴게실,15,경기 용인시 기흥구 상갈동 378-1
5,GS25(양산혜인점),12,경남 양산시 평산동 31-5번지
6,목화휴게소,12,경남 사천시 용현면 주문리 4
7,로또명당인주점,11,충남 아산시 인주면 신성리 188-8
8,잠실매점,11,서울 송파구 신천동 7-18번지 잠실역 8번출구 앞 가판
9,제이복권방,10,서울 종로구 종로5가 58번지 평창빌딩 1층 103호
10,갈렙분식한식,9,서울 중랑구 망우동 490-13번지
11,라이프마트,9,인천 중구 항동7가 58-98번지 5호
12,버스판매소,9,서울 영등포구 영등포동4가 440번지 신세계앞
13,북마산복권전문점,9,경남 창원시 마산합포구 상남동 39-4번지
14,행운복권방,9,경기 포천시 소흘읍 송우리 128-2
15,CU노서점,8,경북 경주시 중부동 178-12 1층 CU 노서점 내
16,가판점(신문),8,서울 영등포구 당산동6가 331-1번지
17,뉴빅마트,8,부산 기장군 정관읍 매학리 748-5 106호
18,마두역상행선 가판대,8,경기 고양시 일산동구 장항동 893 마두역상행선가판대
19,묵동식품,8,서울 중랑구 묵동 238-11번지
20,복권명당(서부점),8,대구 달서구 송현동 195-2번지
21,썬마트,8,충북 청주시 흥덕구 복대동 2719번지
22,알리바이(나주점),8,전남 나주시 금성동 2-2번지 알리바이
23,영광정보통신,8,서울 성북구 월곡제2동 37-74 1층 우측1호
24,올인(allin),8,경기 화성시 향남읍 장짐리 273-3
25,월드24시,8,서울 은평구 갈현동 398-1번지
26,행복충전소,8,경기 평택시 지산동 755-1
27,CU(대림중앙점),7,서울 영등포구 대림동 775-7번지 1층
28,김포로또,7,경기 김포시 사우동 944번지 한솔프라자101
29,또또복권방,7,전북 익산시 영등동 827-3번지
30,복권전문점,7,인천 부평구 청천동 236-20번지
31,영화유통(1등복권방),7,울산 남구 달동 758번지 삼성아파트 상가 204-101
32,종합가판점,7,서울 동대문구 전농동 620-69 청량리역 4번출구 가판점
33,천하명당복권방,7,경기 수원시 팔달구 매산로1가 58-20
34,NG24,6,경북 칠곡군 석적읍 중리 86-8번지
35,노다지복권방,6,경기 용인시 처인구 마평동 735-1번지
36,다니엘사,6,경기 안산시 단원구 초지동 796 101호
37,대박천하마트,6,인천 부평구 갈산동 367번지
38,데이앤나잇,6,서울 성북구 종암동 132 종암우림카이저팰리스 1층 101호
39,돈벼락맞는곳,6,부산 동구 범일제2동 833-5번지
40,로또(파발마점),6,경기 시흥시 정왕동 2302번지 역전프라자105호
41,마두5번출구가판로또,6,경기 고양시 일산동구 798-1
42,명당골복권방,6,경기 수원시 권선구 권선동 1295-3 104호
43,복권백화점,6,경기 파주시 금촌동 329-135번지
44,서재강변로또,6,대구 달성군 다사읍 서재리 58-2번지
45,소리창고,6,서울 강서구 내발산동 677-10번지
46,씨스페이스 역촌점,6,서울 은평구 역촌동 51-79 1층 우측 두번째 점포
47,아이러브마트복권방,6,울산 중구 태화동 22-25
48,오케이상사,6,서울 서초구 반포동 19-3번지 센트럴시티내100호매점
49,종합복권방,6,전남 해남군 해남읍 해리 189-2
50,토큰판매소,6,서울 송파구 풍납동 480번지
51,팡팡복권마트.잡화슈퍼,6,전북 전주시 덕진구 금암1동 460-30
52,행복한사람들 (흥부네),6,경기 광주시 곤지암읍 삼리 399-18번지
53,행운복권방 보생당건강원,6,전북 익산시 부송동 216-17번지
54,행운의집,6,경북 안동시 중구동 23-6 1층 행운의집 복권방
55,황금로또,6,강원 원주시 태장동 1390-16 1층
56,황실복권방,6,충남 천안시 동남구 목천읍 신계리 390-19
57,25시슈퍼,5,경기 시흥시 정왕동 1882-11번지 홍익프라자1층107호
58,GS25(계산동경점),5,인천 계양구 계산동 1076-7번지 도쿄프라자1층2호
59,GS25(대전시네마점),5,대전 서구 괴정동 423-19번지 1층
60,GS25(중촌현대점),5,대전 중구 중촌동 17-2번지
61,가판,5,서울 마포구 도화동 169-1번지 가든호텔정문옆가판
62,경성식품,5,서울 동대문구 휘경동 192-5번지
63,광성슈퍼,5,경기 이천시 단월동 509-4
64,교통카드충전소,5,경기 고양시 덕양구 화정동 1098번지 화정역 2번출구
65,구산복권방,5,경남 김해시 북부동 481-3 보보스빌딩 107호
66,권선로또복권방,5,경기 수원시 권선구 탑동 843-4 천림빌딩102호
67,까치복권방,5,경기 시흥시 정왕동 1782-18번지 1층102
68,대광복권방,5,전남 화순군 화순읍 대리 97-3 대광그린상가동 1층109호
69,대박마트복권방,5,충남 아산시 음봉면 산동리 431-10 태화상가1층103호
70,대박복권방,5,경기 연천군 전곡읍 전곡리 480-16번지
71,대박행진 복권랜드,5,경기 파주시 금촌동 989-1번지 금촌프라자107호
72,로또명당가두판매점,5,경기 안양시 동안구 비산동 1144번지
73,로또복권 하대점,5,경남 진주시 하대동 126-17번지
74,로또복권두정점,5,충남 천안시 서북구 두정동 153-1번지 대원빌딩104호
75,로또복권방,5,경기 용인시 처인구 김량장동 162-4
76,로또온천장점,5,부산 동래구 온천동 1750-1 5호
77,로터리편의마트,5,경북 포항시 북구 덕산동 113-11번지
78,미나식품(로또판매점),5,서울 강서구 방화동 484-23번지
79,복권명당,5,대전 서구 만년동 112번지
80,복권명당,5,충남 공주시 신관동 585-12번지
81,복권방,5,강원 원주시 관설동 1702-1 1층 CU편의점 내
82,복권백화점,5,경기 여주시 홍문동 207-9 1층
83,사이버정보통신,5,부산 부산진구 양정제2동 406-4번지 백조상가동103-1호
84,세방매점,5,경북 경주시 용강동 754-3
85,셀프카메라,5,부산 부산진구 개금제3동 472-23번지
86,알리바이,5,광주 광산구 신가동 986-4번지 1층 알리바이
87,역전광장상회,5,경기 파주시 금촌1동 329-19번지
88,영훈슈퍼마켓,5,서울 도봉구 창동 557-5번지
89,오천억복권방,5,광주 서구 화정동 782-14번지
90,왕대박복권방,5,경북 문경시 모전동 81-89번지
91,원스탑,5,서울 송파구 잠실동 183-1
92,인터넷 복권판매사이트,5,서초구 서초동 동행복권(dhlottery.co.kr)
93,지원물산,5,서울 노원구 공릉동 644-12번지
94,창원병원앞매표소,5,경남 창원시 성산구 중앙동 104-1번지 가판
95,천하명당복권,5,대구 북구 읍내동 771-3번지
96,천하명당복권방,5,경남 거제시 옥포동 582번지
97,초월대박복권방,5,경기 광주시 초월읍 대쌍령리 196-18
98,파란만장복권방,5,경기 화성시 진안동 878-4 101호
99,평안당,5,서울 종로구 종로5가 80-1번지
100,행운방,5,경기 용인시 기흥구 보정동 1208-4번지엔림프라자101호
101,행운복권방,5,강원 인제군 북면 원통리 681-5번지 1층
102,헬로마트,5,서울 도봉구 도봉동 89-148번지
103,현대사,5,경기 성남시 분당구 구미동 144-1 102호
104,화천복권방,5,강원 화천군 화천읍 하리 43-291층
105,황금복권마트,5,경기 이천시 증포동 342 1층
106,황금알복권방,5,충북 진천군 광혜원면 광혜원리 265-3번지
107,흥양마중물,5,강원 원주시 소초면 흥양리 1718-4
108,25시슈퍼,4,경남 창원시 마산회원구 봉암동 462-30
109,CU(군포덕산점),4,경기 군포시 당동 902번지 덕산아파트상가1층
110,CU(망우점),4,서울 중랑구 망우동 470-10번지
111,CU(여주ＩＣ점),4,경기 여주시 점봉동 437-1
112,GS25(대구교대점),4,대구 남구 대명동 2007-6 GS25 대구교대점
113,GS25(두정메트로점),4,충남 천안시 서북구 성정동 1451
114,GS25(수원삼성점),4,경기 수원시 영통구 매탄동 1267-7 104호 GS25
115,GS25(안산산호점),4,경기 안산시 단원구 선부동 1081
116,GS25(종로낙원점),4,서울 종로구 낙원동 230
117,HX복권방,4,경기 이천시 부발읍 아미리 726-9 현대시티플라자106호
118,㈜현대택배권선영업소,4,경기 수원시 권선구 곡선동 574-1 104호
119,가로판매소,4,서울 구로구 구로동 3-25 신도림역배수펌프장앞
120,공원슈퍼,4,경기 수원시 장안구 영화동 257-1
121,교통카드판매대,4,서울 강동구 고덕동 210-1번지 구서울승합종점앞
122,그린마트,4,경기 성남시 분당구 궁내동 192-2번지 107호
123,금강종합공구,4,경기 김포시 대곶면 율생리 350-5번지
124,나나 복권판매소,4,경남 양산시 상북면 석계리 223-2
125,남평로또점,4,전남 나주시 남평읍 남평리 172 파평회관 1층
126,노다지복권방,4,경기 시흥시 대야동 345-16번지 1층상가
127,노다지복권방,4,인천 남구 학익동 264-6번지 외7필지125호
128,노다지복권방,4,서울 종로구 창신동 302-5
129,다모아복권,4,서울 구로구 오류동 315-14번지
130,다모아복권방,4,서울 구로구 오류동 137-46번지 1층
131,대박로또판매점,4,경기 수원시 장안구 율전동 291
132,대박행운복권방,4,충남 아산시 도고면 금산리 161-21 서해안 휴게소내 편의점
133,대성기획,4,경기 용인시 기흥구 마북동 339-1번지
134,대원슈퍼마켓,4,부산 수영구 광안제2동 373-15번지
135,돈벼락맞는곳,4,경남 김해시 한림면 병동리 980-7번지
136,동원복권,4,경남 양산시 북정동 531-4번지
137,드림,4,경기 수원시 권선구 세류동 130
138,럭키슈퍼,4,서울 용산구 후암동 27-14
139,로또,4,서울 중구 신당동 133-14번지
140,로또명당,4,인천 남구 문학동 355-12번지 편의점내
141,로또복권,4,경기 화성시 송산면 사강리 672-4
142,로또복권방,4,충남 당진시 읍내동 620-5번지
143,로또천국,4,충북 충주시 칠금동 849번지 충주공영버스터미널1층 터미널매점
144,마이마트,4,인천 서구 심곡동 302번지 한국상가제1층101호
145,맛딱치킨,4,경기 군포시 산본동 1055 108호
146,메트로센터점,4,대구 중구 덕산동 88번지 메트로센터C412호
147,명당복권,4,서울 동대문구 용두동 711-4번지 가판
148,버스매표소,4,인천 부평구 부평동 549-39번지 가판
149,버스표가판점,4,경기 안양시 동안구 호계동 1039-2번지
150,베스트올수성점,4,전북 정읍시 수성동 932-1
151,보람복권방,4,울산 남구 삼산동 1567-6 우리들보람점내
152,복권나라,4,서울 관악구 은천동 926-25
153,복권나라,4,전남 여수시 교동 448-2번지 1층
154,복권닷컴,4,강원 양양군 양양읍 남문리 16-24번지
155,복권방,4,부산 사하구 장림제1동 328-9번지
156,복권파는집,4,경남 창원시 마산회원구 합성동 84-29번지
157,부영마트,4,서울 중랑구 상봉제2동 113-4 102호
158,부자복권방,4,전북 군산시 대명동 138-12번지
159,부흥청과식품점,4,경북 경산시 하양읍 남하리 118번지 우방3차상가
160,북문복권방,4,경기 수원시 장안구 영화동 311-12
161,서정천하명당,4,경기 평택시 서정동 262-11
162,성심상회,4,경북 포항시 북구 중앙동 41번지
163,세원로또복권방,4,부산 수영구 445-3 101호
164,스포츠베팅샵,4,서울 서초구 양재동 373 104호
165,열두보석복권방,4,경기 용인시 기흥구 구갈동 351 구갈스포츠센터106호
166,왕대박복권편의점,4,인천 부평구 부개동 106-19 1층
167,우리들공업탑점,4,울산 남구 신정4동 1233-3번지
168,우미슈퍼,4,광주 서구 풍암동 1132번지 우미아파트상가118동-101호
169,우일,4,서울 송파구 마천동 25-2번지
170,우정식품,4,부산 동래구 온천제1동 185-93번지
171,운수대통,4,경기 수원시 권선구 호매실동 87-2
172,원당역복권방,4,경기 고양시 덕양구 성사동 410-7
173,인생대역전,4,인천 계양구 임학동 10-10번지
174,자수정슈퍼,4,전북 전주시 완산구 효자동1가 195-19번지
175,장미슈퍼,4,충남 부여군 부여읍 동남리 739-9번지 부여군청 로터리 부근
176,종로3가1호선역2번출구가로판매점82호,4,서울 종로구 종로3가 23-1 가판
177,종합복권슈퍼,4,경기 시흥시 정왕1동 1735-2번지 정일빌딩104
178,주택복권방,4,경기 용인시 수지구 풍덕천동 717-3번지 103호
179,준,4,경기 평택시 포승읍 방림리 53-5
180,진성식품,4,충북 제천시 중앙로1가 115-1 1층
181,천하명당복권방,4,충남 홍성군 홍성읍 오관리 321-4
182,탑로또,4,경남 거제시 상동동 979-1 서원탑훼밀리마트 내
183,태안로또복권방,4,충남 태안군 태안읍 동문리 454-23번지
184,포시즌마전점,4,인천 서구 마전동 1011-1 검단2지구37블록1롯트
185,풍전슈퍼,4,경기 부천시 원미구 원미동 55-1번지
186,프로토베팅샵,4,부산 중구 광복동 27-6번지 4호
187,하늘과바다,4,인천 부평구 부개3동 67-9번지
188,하당복권방,4,전남 목포시 옥암동 998번지
189,한꿈복권방,4,울산 중구 남외동 486-5번지 베스트편의점내
190,한마음,4,서울 관악구 봉천동 32-2 봉천중앙시장라열4호
191,한아름매점,4,충남 홍성군 광천읍 광천리 173-6
192,행복미니슈퍼,4,경기 부천시 원미구 심곡동 351-3번지
193,행복복권방,4,경남 창원시 의창구 팔용동 106-10번지
194,행복슈퍼,4,서울 성북구 동소문동4가 115번지
195,행운복권,4,충북 제천시 의림동 24-10 1층
196,행운복권방,4,경기 의정부시 용현동 14번지
197,행운복권방,4,서울 도봉구 창동 134-36번지 우림빌딩106
198,행운을주는사람들,4,충북 충주시 연수동 923번지 1층 복권방
199,흥건슈퍼,4,전북 전주시 완산구 삼천3동 300-3 흥건슈퍼
200,407억당첨가판점,3,강원 춘천시 중앙로2가 27-1 국민은행앞 가판
201,ALWAYSMART,3,경기 고양시 일산동구 풍동 150번지
202,CU(거제해금강),3,경남 거제시 고현동 997-5번지
203,CU(광탄개나리점),3,경기 파주시 광탄면 신산리 358-10 화설프라자
204,CU(달동초이스점),3,울산 남구 달동 1309-1번지
205,CU(수유대로점),3,서울 강북구 수유동 724-3번지 두울빌딩
206,CU(제천역점),3,충북 제천시 화산동 208-1 1층 CU편의점
207,CU(횡성점),3,강원 횡성군 횡성읍 읍하리 115-11
208,GS25(고양주교점),3,경기 고양시 덕양구 주교동 568 1층 3호
209,GS25(구로제일점),3,서울 구로구 구로동 685-215번지 103호
210,GS25(진해제일점),3,경남 창원시 진해구 화천동 19-2번지
211,G마트,3,서울 영등포구 대림동 862-6번지
212,L-마트,3,경기 부천시 오정구 삼정동 364번지 부천테크노파크100-103
213,LG슈퍼,3,경기 광명시 철산동 163번지
214,Letsgo복권유통,3,전북 전주시 덕진구 인후동1가 904-1번지
215,SK@24시편의점,3,경기 파주시 야동동 589-10번지
216,Today,3,서울 광진구 구의동 546-4번지 테크노마트9층판매동24호
217,가로가판대,3,서울 관악구 신림동 1643-6
218,가로판매대,3,서울 종로구 교남동 46 육교에서 30m 떨어진 가판(협신빌딩앞 가판)
219,가로판매점,3,서울 중구 서소문동 53-6번지
220,가자복권천국,3,전남 목포시 상동 878-4번지
221,가판 창동역점,3,서울 도봉구 창동 3-3번지 창동역문화마당앞
222,가판14호,3,서울 중구 남창동 61-4번지
223,가판대,3,서울 도봉구 도봉동 30-1
224,가판점,3,서울 서초구 서초동 1602-2 가판
225,가판점,3,경기 부천시 심곡동 176-13번지 국민은행버스정류장 옆 가판
226,강일코사할인마트,3,서울 강동구 강일동 699 105호
227,건강마트,3,경기 하남시 신장동 315-2번지
