,shop,phone,location
0,GS25(역삼타운점),02-564-1025,서울 강남구 역삼2동 779
1,GS25(압구정역점),02-549-3196,서울 강남구 신사동 577-12번지 동헌빌딩1층
2,GS25(공덕대우점),02-3276-8970,서울 마포구 신공덕동 167번지 대우매트로디오빌102-A
3,CU(중계위성점),02-937-7009,서울 노원구 중계동 360-13
4,GS25(가락센타점),02-443-0963,서울 송파구 가락동 170번지 1층
5,씨스페이스(군자역점),02-467-6002,서울 광진구 중곡동 640-3
6,GS25(상계역점),02-939-9764,서울 노원구 상계동 155-13번지
7,CU(서초쌍용점),02-3472-9651,서울 서초구 서초동 1445-13
8,GS25(문래한신점),02-2634-5321,서울 영등포구 양평동1가 14-1번지
9,CU(문래벤처점),02-2636-9197,서울 영등포구 문래동3가 82-29번지
10,GS25(방이삼형점),02-423-8825,서울 송파구 방이동 149-13번지
11,GS25(논현영동점),02-3446-3806,서울 강남구 논현동 141-7번지 1층코너
12,GS25(신림수성점),02-863-2209,서울 관악구 신림동 507-31번지
13,CU(상계벽산점),02-939-3035,서울 노원구 상계동 169-197번지 자양현대홈타운10차아파트 101호
14,GS25(역삼충현점),02-562-9698,서울 강남구 역삼동 660-33
15,GS25(명륜아남점),02-766-6663,서울 종로구 명륜1가 46-18번지
16,CU(대림지성점),02-836-5040,서울 영등포구 대림동 894-30번지
17,CU(북가좌공원점),02-308-8213,서울 서대문구 북가좌동 3-16 1층 CU북가좌공원점
18,씨스페이스(수유유진점),02-903-0907,서울 강북구 수유동 441-69
19,CU(구의그린점),02-455-5355,서울 광진구 구의동 234-16번지
20,GS25(봉천메트로점),02-884-2209,서울 관악구 봉천동 870-13번지 신원메트로빌오피스텔101호
21,CU(영등포마사회점),02-2637-0565,서울 영등포구 영등포동3가 18
22,GS25(목동희망점),02-2651-5504,서울 양천구 목동 405-282
23,CU(영등포메인점),02-3409-2500,서울 영등포구 영등포동6가 80-2번지
24,GS25(역삼대홍점),02-567-2008,서울 강남구 역삼동 798-29번지
25,CU(신길도림점),02-846-5540,서울 영등포구 신길동 289-6
26,GS25(이문쌍용점),,서울 동대문구 이문동 64 쌍용아파트 상가 1층-103
27,GS25(양평역점),02-2676-8807,서울 영등포구 양평동3가 23-4 월드프라자103호
28,GS25(강남나누리점),000-0000-0000,서울 강남구 논현동 63-19 1층 GS25강남나누리점
29,CU(신당6동점),02-2238-9996,서울 중구 신당동 52-299번지
30,CU(촬영소사거리점),02-2212-2950,서울 동대문구 장안동 141-10번지
31,CU(창동미소점),02-904-0133,서울 도봉구 창동 254-23
32,GS25(종로인사점),02-723-7869,서울 종로구 관훈동 144
33,씨스페이스(노원점),02-932-0346,서울 노원구 상계동 720 아파트상가 101호
34,씨스페이스(미아3점),02-989-7904,서울 강북구 미아동 304-20번지
35,씨스페이스(행복마트점),02-702-2568,서울 용산구 서계동 73-3 씨스페이스 행복마트점
36,씨스페이스(동작점),02-841-0841,서울 동작구 신대방동 690-20
37,씨스페이스(정릉3점),02-916-0103,서울 성북구 정릉동 372-7
38,씨스페이스(잠실점),02-413-3986,서울 송파구 잠실동 297-3번지
39,씨스페이스(대림점),02-849-7272,서울 영등포구 대림동 993-57 1동 9호
40,GS25(논현금옥점),02-515-1843,서울 강남구 논현동 56번지
41,GS25(논현동현점),02-516-0245,서울 강남구 논현동 99-19번지
42,GS25(대치중앙점),02-567-3112,서울 강남구 대치4동 916-40번지 공간쉐르빌빌딩101호
43,GS25(압구정신사점),02-512-2265,서울 강남구 신사동 588번지
44,GS25(로데오점),02-541-3043,서울 강남구 신사동 659 GS25 편의점
45,GS25(청담삼익점),02-511-7205,"서울 강남구 청담동 133-6번지 승창빌딩 103,4호"
46,GS25(고덕점),02-429-4153,서울 강동구 고덕동 503
47,GS25(천호점),02-471-1634,서울 강동구 천호동 427-6번지
48,GS25(수유점),02-903-7974,서울 강북구 수유동 174-17번지
49,GS25(가양2점),02-3665-2995,서울 강서구 가양동 1461번지 2단지상가1층106호
50,GS25(관악봉천점),02-873-9368,서울 관악구 봉천동 876-1번지
51,GS25(신림신성점),02-886-2323,서울 관악구 신림동 103-109번지
52,GS25(신림도림점),02-3285-7775,서울 관악구 신림동 112-41번지
53,GS25(신림두림점),02-871-1278,서울 관악구 신림동 1411-9번지
54,GS25(신림역점),02-872-6665,서울 관악구 신림동 1422-38번지
55,GS25(구로미성점),02-2635-2025,서울 구로구 신도림동 399번지 기임빌딩101호
56,GS25(트윈테크점),02-839-2521,서울 금천구 가산동 345-9번지 SK트윈테크타워A동-103호
57,GS25(시흥별장점),02-893-8722,서울 금천구 시흥동 915번지
58,GS25(중계동진점),02-934-0207,서울 노원구 중계동 364-23번지 동진빌딩103호
59,GS25(사당드림점),02-587-7697,서울 동작구 사당동 1038-51번지
60,GS25(사당남사점),02-521-2274,서울 동작구 사당동 1005-54번지
61,GS25(마포역점),02-704-0271,서울 마포구 용강동 51-8 1층
62,GS25(연희점),02-323-9973,서울 서대문구 연희동 122-7
63,GS25(서초금호점),02-591-2204,서울 서초구 서초동 1689-1
64,GS25(양재삼익점),02-572-7672,서울 서초구 양재동 82 향천빌딩 105호
65,GS25(석촌센타점),02-417-6878,서울 송파구 석촌동 272-25번지
66,GS25(신정중앙점),02-2643-3262,서울 양천구 신정동 1020-1
67,GS25(성애병원점),02-842-9691,서울 영등포구 신길동 467-3
68,GS25(명륜성대점),02-764-7398,서울 종로구 명륜1가 15
69,GS25(종로사직점),02-725-8425,서울 종로구 체부동 37-1번지
70,GS25(면목한신점),02-436-6480,서울 중랑구 면목동 178-30
71,GS25(상봉동부점),02-438-2722,서울 중랑구 상봉동 129-65번지
72,CU(종로공평점),02-732-0397,서울 종로구 공평동 124
73,CU(종로신교점),02-735-9777,서울 종로구 신교동 36번지
74,CU(홍릉점),02-968-1986,서울 동대문구 청량리동 520-55번지
75,CU(휘경주공점),02-2214-2752,서울 동대문구 휘경동 57-1번지
76,CU(금호삼성점),02-2299-5370,서울 성동구 금호동1가 1801-1번지 서초쌍용플래티넘
77,CU( 한양대엔터식스점),02-6454-6148,서울 성동구 행당동 155-1
78,CU(명일우량점),02-3427-5863,서울 강동구 명일동 48-12 타워팰리스 1층104호
79,CU(성내중앙점),02-485-9505,서울 강동구 성내동 442 동양타워
80,CU(노원마들점),02-937-2155,서울 노원구 상계동 649-3 1층 CU노원마들점
81,CU(상계주공점),02-931-3570,서울 노원구 상계동 763-6번지
82,CU(수유대로점),02-990-4895,서울 강북구 수유동 724-3번지 두울빌딩
83,CU(정릉센터점),02-941-6690,서울 성북구 정릉동 1020 101~104호 CU정릉센터점 내
84,CU(성북진영점),02-942-1529,서울 성북구 종암동 10-78
85,CU(길음타운점),02-911-6435,서울 성북구 길음동 1284 지2층 A동 8호 CU길음타운점
86,CU(월곡동아점),000-0000-0000,서울 성북구 상월곡동 55-76
87,CU(망우점),02-436-4475,서울 중랑구 망우동 470-10번지
88,CU(역촌제일점),02-384-9066,서울 은평구 역촌동 78-45
89,CU(새절역점),02-306-3927,서울 은평구 신사동 336-1번지
90,CU(이태원해밀턴점),02-749-2507,서울 용산구 이태원동 127-28번지
91,CU(용산남영점),02-794-4640,서울 용산구 남영동 3-1번지
92,CU(남가좌현대점),02-308-7688,서울 서대문구 남가좌동 74-22번지
93,CU(타워팰리스점),02-578-7010,서울 강남구 도곡동 467번지
94,CU(당산한강점),02-2633-7643,서울 영등포구 당산동4가 29번지
95,CU(영등포중앙점),02-2679-7961,서울 영등포구 영등포동2가 177-2번지
96,GS25(광나루점),02-444-7589,서울 광진구 광장동 323-2번지
97,GS25(잠실점),02-424-5336,서울 송파구 방이동 38-3번지
98,GS25(신천으뜸점),02-421-8911,서울 송파구 잠실본동 186-7
99,GS25(잠실제일점),02-420-7931,서울 송파구 잠실동 204-10번지
100,GS25(동숭점),02-741-2425,서울 종로구 혜화동 201
101,GS25(방학점),02-3493-5800,서울 도봉구 방학동 603-28번지
102,GS25(쌍문사계절점),02-900-1126,서울 도봉구 쌍문동 217-3번지
103,GS25(반포중앙점),02-514-4249,서울 서초구 반포동 739-35번지 1층
104,GS25(논현동국점),02-541-6160,서울 강남구 논현동 37-16번지
105,GS25(도곡점),02-578-9424,서울 강남구 도곡동 411-16 GS25
106,GS25(관악한일점),02-581-7071,서울 관악구 남현동 602-11번지 한일빌딩1층
107,GS25(구로제일점),02-830-1963,서울 구로구 구로동 685-215번지 103호
108,GS25(마포공덕점),02-701-2524,서울 마포구 공덕동 249-12번지
109,GS25(서울역점),02-704-5135,서울 용산구 동자동 43-120번지
110,GS25(북가좌점),02-372-8411,서울 서대문구 북가좌동 309-1번지
111,GS25(동여의점),02-761-2575,서울 영등포구 여의도동 45-13번지 포레스텔빌딩17호
112,GS25(사당신동아점),02-595-2524,서울 동작구 사당동 128-12
113,CU(소피텔점),02-2269-8839,서울 중구 묵정동 18-9번지
114,GS25(경희점),02-962-2525,서울 동대문구 회기동 36-26번지
115,GS25 동대문 쇼핑점,02-2233-1674,서울 중구 신당동 251-77 신세계빌딩 1층
116,GS25(망원희망점),02-3143-2535,서울 마포구 망원동 406-16
117,GS25(여의타워점),02-761-9377,서울 영등포구 여의도동 61-5번지 리버타워 102호
118,CU(신정점),070-8873-6349,서울 양천구 신정동 1026-1번지 미성빌딩
119,GS25(방이중앙점),02-3431-6330,서울 송파구 방이동 64번지
120,GS25(문정중앙점),02-449-4575,서울 송파구 문정동 61-7
121,씨스페이스(강일본),070-4196-8010,서울 강동구 강일동 679-1
122,GS25(대치골드점),02-508-8554,서울 강남구 대치동 896-52번지
123,GS25(에클라트점),02-761-0794,서울 영등포구 여의도동 14-21번지 GS에클라트빌딩105호
124,GS25(신림로점),02-826-8536,서울 동작구 신대방동 344-258번지
125,GS25(한남중앙점),02-796-2250,서울 용산구 한남동 657-85번지
126,CU(용산신창점),02-702-0761,서울 용산구 신창동 59-4번지
127,GS25(수유역점),02-990-6776,서울 강북구 번동 418-9번지
128,GS25(종로내수점),080-855-5525,서울 종로구 내수동 75번지 용비어천가오피스텔 1층 103호
129,GS25(논현삼익점),02-3442-7840,서울 강남구 논현동 51번지 로뎀빌딩 1층
130,GS25(방이진실점),02-3431-6463,서울 송파구 방이동 34-9번지 1층2호
131,CU(포레스트힐점),02-762-7212,서울 종로구 효제동 65-2 1층 101호 씨유포레스트힐점
132,보물섬복권판매점,000-000-0000,서울 송파구 문정2동 651-4
133,터져라로또,02-2654-3382,서울 양천구 목동 406-21번지
134,소비자할인마트,02-867-0979,서울 관악구 신림동 1659-4번지
135,행운식품,,서울 관악구 신림동 1598-2
136,로또,070-4230-4658,서울 강서구 가양제1동 784-13 CU마곡아르디에점
137,명당,02-2605-5835,서울 강서구 화곡동 339-23
138,공원수퍼,02-2696-3861,서울 강서구 화곡동 372-95번지
139,복권,,서울 관악구 봉천동 196-33
140,로또복권,02-884-6128,서울 관악구 봉천동 930-3
141,행복만들기,02-857-6457,서울 관악구 신림동 517-6
142,대박로또,02-863-5174,서울 관악구 신림동 763-20
143,은혜기획사로또,02-6052-8125,서울 광진구 중곡동 83-8번지
144,나눔행운로또,02-3437-9909,서울 광진구 중곡동 290-4번지
145,청송상회,02-447-5795,서울 광진구 구의동 222-64번지
146,동서울로또,,서울 광진구 구의동 546-1 동서울터미널 정문앞 로또가판점
147,Today,,서울 광진구 구의동 546-4번지 테크노마트9층판매동24호
148,로또천국,02-463-4735,서울 광진구 군자동 345번지
149,세븐몽키스커피,02-497-7070,서울 광진구 군자동 469-22번지 1층2호
150,성동약국,02-452-1809,서울 광진구 자양동 584-13번지
151,올강,02-465-0645,서울 광진구 광장동 484
152,신영상회,02-816-2802,서울 동작구 노량진제2동 235-5
153,한냉매점,02-2254-8550,서울 동작구 노량진제2동 13-6 2층 10호
154,양지복권방,02-823-2871,서울 동작구 신대방제1동 719 105동 114호 CU
155,은경식품,02-813-2613,서울 동작구 상도동 477-2
156,인동상회,02-951-0303,서울 노원구 상계동 173-1번지 벽산아파트상가108-116
157,동아슈퍼,02-935-7864,서울 노원구 상계동 673번지 9단지유치원104호
158,우성슈퍼,02-427-6715,서울 강동구 암사동 421-6번지
159,삼익마트,02-442-8845,서울 강동구 명일동 341-5번지 1층
