,shop,phone,location,1st,2nd
0,GS25(역삼타운점),02-564-1025,서울 강남구 역삼2동 779,,1.0
1,GS25(압구정역점),02-549-3196,서울 강남구 신사동 577-12번지 동헌빌딩1층,1.0,2.0
2,GS25(공덕대우점),02-3276-8970,서울 마포구 신공덕동 167번지 대우매트로디오빌102-A,,3.0
3,CU(중계위성점),02-937-7009,서울 노원구 중계동 360-13,,1.0
4,GS25(가락센타점),02-443-0963,서울 송파구 가락동 170번지 1층,,1.0
5,씨스페이스(군자역점),02-467-6002,서울 광진구 중곡동 640-3,,1.0
6,GS25(상계역점),02-939-9764,서울 노원구 상계동 155-13번지,,1.0
7,CU(서초쌍용점),02-3472-9651,서울 서초구 서초동 1445-13,,1.0
8,GS25(문래한신점),02-2634-5321,서울 영등포구 양평동1가 14-1번지,,3.0
9,CU(문래벤처점),02-2636-9197,서울 영등포구 문래동3가 82-29번지,,1.0
10,GS25(방이삼형점),02-423-8825,서울 송파구 방이동 149-13번지,2.0,2.0
11,GS25(논현영동점),02-3446-3806,서울 강남구 논현동 141-7번지 1층코너,,3.0
12,GS25(신림수성점),02-863-2209,서울 관악구 신림동 507-31번지,,2.0
13,CU(상계벽산점),02-939-3035,서울 노원구 상계동 169-197번지 자양현대홈타운10차아파트 101호,,
14,GS25(역삼충현점),02-562-9698,서울 강남구 역삼동 660-33,,
15,GS25(명륜아남점),02-766-6663,서울 종로구 명륜1가 46-18번지,2.0,5.0
16,CU(대림지성점),02-836-5040,서울 영등포구 대림동 894-30번지,,
17,CU(북가좌공원점),02-308-8213,서울 서대문구 북가좌동 3-16 1층 CU북가좌공원점,,2.0
18,씨스페이스(수유유진점),02-903-0907,서울 강북구 수유동 441-69,,
19,CU(구의그린점),02-455-5355,서울 광진구 구의동 234-16번지,,2.0
20,GS25(봉천메트로점),02-884-2209,서울 관악구 봉천동 870-13번지 신원메트로빌오피스텔101호,,7.0
21,CU(영등포마사회점),02-2637-0565,서울 영등포구 영등포동3가 18,,3.0
22,GS25(목동희망점),02-2651-5504,서울 양천구 목동 405-282,,1.0
23,CU(영등포메인점),02-3409-2500,서울 영등포구 영등포동6가 80-2번지,,1.0
24,GS25(역삼대홍점),02-567-2008,서울 강남구 역삼동 798-29번지,,6.0
25,CU(신길도림점),02-846-5540,서울 영등포구 신길동 289-6,1.0,2.0
26,GS25(이문쌍용점),,서울 동대문구 이문동 64 쌍용아파트 상가 1층-103,1.0,
27,GS25(양평역점),02-2676-8807,서울 영등포구 양평동3가 23-4 월드프라자103호,2.0,3.0
28,GS25(강남나누리점),000-0000-0000,서울 강남구 논현동 63-19 1층 GS25강남나누리점,1.0,
29,CU(신당6동점),02-2238-9996,서울 중구 신당동 52-299번지,1.0,3.0
30,CU(촬영소사거리점),02-2212-2950,서울 동대문구 장안동 141-10번지,,2.0
31,CU(창동미소점),02-904-0133,서울 도봉구 창동 254-23,,
32,GS25(종로인사점),02-723-7869,서울 종로구 관훈동 144,,1.0
33,씨스페이스(노원점),02-932-0346,서울 노원구 상계동 720 아파트상가 101호,,
34,씨스페이스(미아3점),02-989-7904,서울 강북구 미아동 304-20번지,,2.0
35,씨스페이스(행복마트점),02-702-2568,서울 용산구 서계동 73-3 씨스페이스 행복마트점,,2.0
36,씨스페이스(동작점),02-841-0841,서울 동작구 신대방동 690-20,,6.0
37,씨스페이스(정릉3점),02-916-0103,서울 성북구 정릉동 372-7,2.0,2.0
38,씨스페이스(잠실점),02-413-3986,서울 송파구 잠실동 297-3번지,,2.0
39,씨스페이스(대림점),02-849-7272,서울 영등포구 대림동 993-57 1동 9호,1.0,2.0
40,GS25(논현금옥점),02-515-1843,서울 강남구 논현동 56번지,,1.0
41,GS25(논현동현점),02-516-0245,서울 강남구 논현동 99-19번지,,8.0
42,GS25(대치중앙점),02-567-3112,서울 강남구 대치4동 916-40번지 공간쉐르빌빌딩101호,,1.0
43,GS25(압구정신사점),02-512-2265,서울 강남구 신사동 588번지,,1.0
44,GS25(로데오점),02-541-3043,서울 강남구 신사동 659 GS25 편의점,,2.0
45,GS25(청담삼익점),02-511-7205,"서울 강남구 청담동 133-6번지 승창빌딩 103,4호",1.0,3.0
46,GS25(고덕점),02-429-4153,서울 강동구 고덕동 503,,2.0
47,GS25(천호점),02-471-1634,서울 강동구 천호동 427-6번지,,1.0
48,GS25(수유점),02-903-7974,서울 강북구 수유동 174-17번지,,2.0
49,GS25(가양2점),02-3665-2995,서울 강서구 가양동 1461번지 2단지상가1층106호,1.0,4.0
50,GS25(관악봉천점),02-873-9368,서울 관악구 봉천동 876-1번지,1.0,3.0
51,GS25(신림신성점),02-886-2323,서울 관악구 신림동 103-109번지,,2.0
52,GS25(신림도림점),02-3285-7775,서울 관악구 신림동 112-41번지,,
53,GS25(신림두림점),02-871-1278,서울 관악구 신림동 1411-9번지,,3.0
54,GS25(신림역점),02-872-6665,서울 관악구 신림동 1422-38번지,,5.0
55,GS25(구로미성점),02-2635-2025,서울 구로구 신도림동 399번지 기임빌딩101호,1.0,3.0
56,GS25(트윈테크점),02-839-2521,서울 금천구 가산동 345-9번지 SK트윈테크타워A동-103호,1.0,1.0
57,GS25(시흥별장점),02-893-8722,서울 금천구 시흥동 915번지,,1.0
58,GS25(중계동진점),02-934-0207,서울 노원구 중계동 364-23번지 동진빌딩103호,,2.0
59,GS25(사당드림점),02-587-7697,서울 동작구 사당동 1038-51번지,,
60,GS25(사당남사점),02-521-2274,서울 동작구 사당동 1005-54번지,2.0,4.0
61,GS25(마포역점),02-704-0271,서울 마포구 용강동 51-8 1층,,
62,GS25(연희점),02-323-9973,서울 서대문구 연희동 122-7,,2.0
63,GS25(서초금호점),02-591-2204,서울 서초구 서초동 1689-1,2.0,2.0
64,GS25(양재삼익점),02-572-7672,서울 서초구 양재동 82 향천빌딩 105호,1.0,4.0
65,GS25(석촌센타점),02-417-6878,서울 송파구 석촌동 272-25번지,1.0,2.0
66,GS25(신정중앙점),02-2643-3262,서울 양천구 신정동 1020-1,,1.0
67,GS25(성애병원점),02-842-9691,서울 영등포구 신길동 467-3,2.0,1.0
68,GS25(명륜성대점),02-764-7398,서울 종로구 명륜1가 15,,1.0
69,GS25(종로사직점),02-725-8425,서울 종로구 체부동 37-1번지,,5.0
70,GS25(면목한신점),02-436-6480,서울 중랑구 면목동 178-30,,1.0
71,GS25(상봉동부점),02-438-2722,서울 중랑구 상봉동 129-65번지,,1.0
72,CU(종로공평점),02-732-0397,서울 종로구 공평동 124,,
73,CU(종로신교점),02-735-9777,서울 종로구 신교동 36번지,,2.0
74,CU(홍릉점),02-968-1986,서울 동대문구 청량리동 520-55번지,,2.0
75,CU(휘경주공점),02-2214-2752,서울 동대문구 휘경동 57-1번지,,
76,CU(금호삼성점),02-2299-5370,서울 성동구 금호동1가 1801-1번지 서초쌍용플래티넘,,1.0
77,CU( 한양대엔터식스점),02-6454-6148,서울 성동구 행당동 155-1,,4.0
